sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
93,M,86.47,Others,73.5,Others,Science,75.98,B.Tech,No,77.85,Computer Science,69.06,Not Placed,
94,M,58.72,Others,73.54,Others,Science,75.36,B.Tech,Yes,66.86,Electronics & Comm,66.84,Placed,714000
95,M,59.89,Central,76.48,Central,Science,71.87,B.Tech,Yes,50.0,Information Technology,70.16,Not Placed,
96,M,89.63,Others,72.92,Central,Science,66.43,B.Tech,No,70.11,Information Technology,68.27,Not Placed,
97,M,75.52,Central,77.75,Central,Science,84.18,B.Tech,No,59.12,Mechanical,63.95,Not Placed,
98,F,47.65,Central,51.07,Central,Science,50.0,B.Tech,No,55.75,Information Technology,70.67,Not Placed,
99,M,72.31,Others,69.68,Others,Science,62.91,B.Tech,Yes,86.59,Information Technology,63.07,Placed,717000
100,M,55.48,Others,82.88,Central,Science,69.08,B.Tech,No,73.48,Information Technology,70.14,Placed,714000
101,M,69.97,Others,74.8,Central,Science,59.91,B.Tech,Yes,89.61,Computer Science,68.56,Placed,600000
102,F,70.96,Central,66.55,Central,Science,57.57,B.Tech,No,87.43,Electronics & Comm,71.29,Not Placed,
103,M,72.25,Central,64.1,Others,Science,62.37,B.Tech,Yes,96.82,Mechanical,64.82,Placed,692000
104,F,60.2,Central,61.82,Central,Science,75.68,B.Tech,No,75.59,Information Technology,57.17,Placed,655000
105,M,69.33,Others,85.72,Others,Science,78.45,B.Tech,Yes,83.18,Electronics & Comm,69.47,Placed,787000
106,F,87.77,Others,60.62,Central,Science,65.78,B.Tech,No,75.8,Mechanical,77.54,Placed,572000
107,F,72.24,Central,72.75,Others,Science,60.84,B.Tech,No,88.73,Civil,68.49,Not Placed,
108,F,56.72,Others,73.21,Central,Science,75.82,B.Tech,No,66.67,Civil,68.07,Not Placed,
109,F,78.31,Central,77.48,Others,Science,92.0,B.Tech,Yes,86.82,Information Technology,52.65,Placed,705000
110,M,54.37,Central,61.62,Others,Science,71.6,B.Tech,No,87.92,Information Technology,75.21,Not Placed,
111,F,51.5,Others,66.45,Central,Science,50.0,B.Tech,No,70.82,Computer Science,67.99,Not Placed,
112,F,67.13,Central,61.86,Others,Science,69.12,B.Tech,No,68.92,Information Technology,54.74,Not Placed,
113,M,89.9,Others,53.14,Central,Science,54.33,B.Tech,No,50.0,Civil,76.96,Not Placed,
114,M,69.78,Others,84.42,Central,Science,86.77,B.Tech,No,64.14,Information Technology,61.39,Placed,650000
115,F,57.65,Central,60.52,Central,Science,66.08,B.Tech,No,69.67,Computer Science,68.62,Not Placed,
116,M,46.78,Central,70.22,Central,Science,66.57,B.Tech,Yes,69.45,Civil,67.21,Placed,648000
117,F,73.47,Others,56.91,Others,Science,65.72,B.Tech,No,92.04,Computer Science,73.84,Not Placed,
118,F,79.87,Central,58.51,Others,Science,68.67,B.Tech,No,80.06,Computer Science,62.98,Placed,558000
119,F,64.73,Others,65.77,Others,Science,72.91,B.Tech,No,77.48,Computer Science,61.87,Placed,605000
120,M,68.16,Central,84.54,Central,Science,58.38,B.Tech,No,60.33,Mechanical,54.42,Placed,480000
121,F,71.12,Others,96.0,Others,Science,66.3,M.Tech,No,50.0,Data Science & AI,66.37,Not Placed,
122,M,76.55,Central,77.77,Others,Science,74.25,M.Tech,Yes,66.08,Data Science & AI,65.83,Placed,888000
123,F,60.46,Central,63.91,Central,Science,57.1,M.Tech,No,54.76,Data Science & AI,58.37,Not Placed,
124,M,69.63,Others,68.01,Central,Science,77.83,M.Tech,No,61.52,Data Science & AI,69.11,Placed,676000
125,F,72.4,Central,69.46,Central,Science,78.28,M.Tech,No,69.47,Electronics & Comm,69.35,Not Placed,
126,F,73.79,Central,79.77,Central,Science,67.59,M.Tech,No,71.18,Data Science & AI,59.25,Not Placed,
127,M,76.95,Others,69.63,Central,Science,58.96,M.Tech,No,74.29,Electronics & Comm,59.12,Not Placed,
128,M,62.53,Central,56.68,Central,Science,54.06,M.Tech,No,77.03,Computer Science,67.52,Not Placed,
129,F,67.98,Central,85.45,Others,Science,61.02,M.Tech,No,74.83,Data Science & AI,78.03,Not Placed,
130,M,79.31,Central,85.87,Central,Science,76.46,M.Tech,No,50.0,Electronics & Comm,60.83,Not Placed,
131,M,70.05,Others,54.95,Central,Science,72.6,M.Tech,Yes,66.28,Electronics & Comm,60.77,Placed,867000
132,M,85.27,Others,56.1,Others,Science,71.66,M.Tech,Yes,87.0,Computer Science,62.55,Placed,883000
133,M,71.84,Central,76.52,Central,Science,72.88,M.Tech,No,65.16,Data Science & AI,61.83,Not Placed,
134,F,55.62,Central,67.27,Central,Science,59.86,M.Tech,No,53.91,Electronics & Comm,65.7,Not Placed,
135,M,75.08,Central,71.27,Others,Science,88.44,M.Tech,No,68.98,Data Science & AI,64.21,Not Placed,
136,M,60.97,Central,71.77,Others,Science,62.09,M.Tech,No,61.47,Electronics & Comm,73.69,Not Placed,
137,F,72.75,Others,94.11,Others,Science,63.3,M.Tech,Yes,50.0,Computer Science,65.51,Placed,855000
138,M,57.48,Central,69.66,Others,Science,57.27,M.Tech,No,76.71,Computer Science,61.33,Placed,609000
139,M,80.56,Others,60.81,Central,Science,60.59,M.Tech,No,50.05,Data Science & AI,72.06,Not Placed,
140,M,64.33,Central,59.23,Others,Science,66.14,M.Tech,No,59.26,Computer Science,59.14,Not Placed,
141,F,60.98,Others,76.65,Central,Science,72.06,M.Tech,No,72.56,Electronics & Comm,50.0,Not Placed,
142,F,62.23,Central,45.0,Central,Science,61.08,M.Tech,No,72.7,Computer Science,72.48,Not Placed,
143,M,63.06,Central,65.65,Central,Science,62.08,M.Tech,No,50.0,Computer Science,64.96,Not Placed,
144,M,79.68,Central,57.51,Central,Science,58.13,M.Tech,No,50.0,Computer Science,68.72,Not Placed,
145,M,69.67,Central,66.04,Others,Science,67.37,M.Tech,No,50.0,Electronics & Comm,64.22,Not Placed,
146,F,68.32,Central,58.71,Others,Science,84.12,M.Tech,Yes,69.64,Computer Science,71.34,Not Placed,
147,M,80.28,Central,45.0,Central,Science,67.67,M.Tech,No,60.67,Electronics & Comm,74.56,Not Placed,
148,F,60.18,Central,76.68,Central,Science,71.46,M.Tech,No,83.73,Electronics & Comm,63.31,Not Placed,
149,M,66.83,Others,58.41,Central,Science,62.67,M.Tech,Yes,77.98,Electronics & Comm,64.78,Placed,903000
150,M,65.9,Central,47.88,Others,Science,50.0,M.Tech,No,62.19,Data Science & AI,62.35,Not Placed,
151,F,76.6,Others,60.59,Others,Science,64.5,M.Tech,No,71.39,Computer Science,54.65,Placed,782000
152,M,59.72,Central,77.0,Others,Science,68.9,M.Tech,Yes,59.81,Electronics & Comm,65.24,Not Placed,
153,F,53.08,Central,69.65,Central,Science,89.42,M.Tech,No,77.04,Data Science & AI,68.05,Not Placed,
154,M,70.06,Others,53.74,Others,Science,62.8,M.Tech,Yes,75.32,Electronics & Comm,54.65,Not Placed,
155,F,78.78,Others,56.14,Others,Science,79.38,M.Tech,No,70.77,Computer Science,66.89,Placed,874000
156,F,75.98,Others,65.83,Central,Science,77.0,M.Tech,Yes,86.76,Electronics & Comm,55.0,Not Placed,
157,F,53.82,Others,47.63,Central,Science,52.27,M.Tech,No,83.15,Computer Science,60.59,Not Placed,
158,M,93.58,Others,87.47,Others,Science,82.98,M.Tech,No,60.5,Data Science & AI,71.62,Placed,908000
159,F,61.51,Others,45.0,Central,Science,73.21,M.Tech,Yes,57.88,Computer Science,63.92,Not Placed,
160,F,57.76,Others,87.4,Others,Science,63.96,M.Tech,No,56.49,Data Science & AI,67.43,Not Placed,
161,M,54.23,Others,85.56,Others,Science,81.07,M.Tech,No,63.06,Computer Science,69.23,Not Placed,
162,M,66.08,Central,82.3,Central,Science,67.85,M.Tech,No,63.46,Computer Science,62.81,Not Placed,
163,M,58.01,Central,76.75,Others,Science,59.77,M.Tech,Yes,81.92,Electronics & Comm,63.09,Placed,807000
164,M,67.86,Others,68.12,Central,Science,55.82,M.Tech,Yes,70.96,Data Science & AI,65.7,Not Placed,
165,M,72.87,Others,73.11,Central,Science,58.46,M.Tech,Yes,75.33,Data Science & AI,65.64,Placed,873000
166,M,63.73,Central,61.04,Others,Science,69.37,BCA,Yes,68.42,Web Analytics,76.51,Placed,545000
167,F,73.51,Central,62.21,Central,Commerce,69.93,BCA,No,78.85,Cyber Security,69.95,Placed,594000
168,M,66.17,Central,82.12,Others,Commerce,73.58,BCA,No,63.65,Web Analytics,67.86,Placed,374000
169,M,68.86,Others,74.03,Others,Commerce,65.45,BCA,No,59.17,Software Dev,75.12,Not Placed,
170,M,63.37,Central,65.6,Central,Commerce,58.11,BCA,No,79.03,Software Dev,59.65,Not Placed,
171,F,75.65,Central,64.89,Central,Commerce,54.94,BCA,No,70.55,Software Dev,62.88,Not Placed,
172,M,72.83,Central,56.49,Central,Commerce,69.81,BCA,No,57.69,Software Dev,74.14,Not Placed,
173,F,79.49,Central,82.76,Others,Science,58.24,BCA,No,72.36,Cyber Security,79.34,Not Placed,
174,M,70.24,Others,70.72,Others,Commerce,63.34,BCA,Yes,71.32,Software Dev,70.86,Placed,614000
175,M,67.77,Central,76.25,Central,Science,70.92,BCA,No,70.99,Web Analytics,68.37,Not Placed,
176,F,52.82,Others,80.68,Central,Science,61.6,BCA,Yes,71.57,Cyber Security,67.27,Placed,484000
177,F,76.71,Others,52.19,Central,Commerce,60.65,BCA,No,65.69,Software Dev,69.11,Not Placed,
178,F,69.8,Others,53.67,Others,Science,73.51,BCA,Yes,63.45,Web Analytics,55.89,Placed,552000
179,M,79.01,Others,64.94,Central,Commerce,57.52,BCA,Yes,74.49,Software Dev,72.08,Not Placed,
180,F,76.89,Central,61.21,Others,Commerce,62.58,BCA,Yes,64.62,Software Dev,50.0,Placed,484000
181,M,78.5,Central,57.5,Others,Commerce,62.79,BCA,Yes,77.53,Cyber Security,69.47,Not Placed,
182,M,90.53,Central,76.38,Others,Science,59.84,BCA,Yes,72.17,Software Dev,74.31,Placed,458000
183,F,68.28,Central,61.3,Others,Commerce,68.17,BCA,No,78.63,Software Dev,66.84,Not Placed,
184,F,82.32,Others,64.01,Others,Commerce,63.79,BCA,No,57.88,Web Analytics,57.83,Not Placed,
185,F,58.69,Central,76.98,Central,Science,64.06,BCA,No,65.36,Web Analytics,50.0,Not Placed,
186,M,68.82,Central,50.97,Central,Commerce,68.68,BCA,Yes,71.46,Cyber Security,67.55,Placed,633000
187,M,66.4,Central,74.38,Others,Commerce,75.34,BCA,No,69.04,Cyber Security,80.21,Not Placed,
188,M,67.39,Central,51.85,Central,Commerce,50.0,BCA,No,78.1,Software Dev,55.68,Not Placed,
189,F,63.17,Central,68.61,Central,Science,62.61,BCA,No,74.91,Software Dev,50.0,Not Placed,
190,M,60.81,Others,72.63,Others,Science,64.49,BCA,No,70.79,Web Analytics,72.31,Not Placed,
191,F,77.53,Others,70.16,Central,Commerce,77.54,BCA,No,69.4,Web Analytics,64.73,Not Placed,
192,M,65.92,Others,45.45,Others,Science,72.59,BCA,Yes,80.58,Cyber Security,62.32,Placed,627000
193,F,69.31,Central,56.78,Others,Science,50.0,BCA,No,77.52,Web Analytics,51.01,Not Placed,
194,M,73.77,Central,45.0,Central,Science,57.32,BCA,Yes,62.84,Web Analytics,53.7,Placed,589000
195,M,79.1,Others,53.98,Central,Commerce,79.63,BCA,Yes,92.43,Software Dev,64.63,Placed,467000
196,M,66.98,Central,71.5,Central,Commerce,50.09,BCA,Yes,50.59,Software Dev,50.57,Not Placed,
197,M,64.45,Others,74.67,Others,Commerce,63.0,BCA,No,70.42,Web Analytics,58.78,Not Placed,
198,M,73.29,Central,45.0,Others,Commerce,61.35,BCA,No,59.88,Cyber Security,56.49,Not Placed,
199,M,59.27,Central,45.23,Others,Commerce,72.73,BCA,No,71.89,Cyber Security,62.14,Not Placed,
200,F,57.51,Others,53.79,Central,Science,61.81,BCA,No,66.73,Web Analytics,67.03,Not Placed,
201,F,72.68,Central,63.02,Others,Commerce,68.52,BCA,No,68.23,Web Analytics,70.23,Not Placed,
202,M,58.94,Others,59.81,Central,Science,64.0,BCA,No,76.09,Software Dev,64.56,Not Placed,
203,F,70.86,Others,79.82,Others,Science,64.16,BCA,Yes,78.63,Web Analytics,71.31,Placed,589000
204,M,79.01,Central,79.6,Central,Commerce,61.22,BCA,No,66.52,Software Dev,62.15,Not Placed,
205,M,76.0,Others,75.3,Others,Commerce,60.43,BCA,No,71.76,Web Analytics,63.7,Not Placed,
206,M,60.55,Central,68.17,Others,Commerce,64.79,BCA,Yes,59.41,Web Analytics,67.69,Not Placed,
207,F,51.92,Central,58.61,Central,Commerce,58.9,BCA,Yes,62.35,Web Analytics,62.88,Placed,336000
208,F,68.6,Central,70.05,Others,Commerce,71.38,BCA,No,57.81,Web Analytics,79.4,Placed,533000
209,F,76.07,Others,56.29,Others,Commerce,56.94,BCA,No,70.01,Web Analytics,56.02,Not Placed,
210,F,64.76,Others,59.77,Central,Science,52.15,BCA,No,64.07,Web Analytics,66.24,Not Placed,
211,M,69.85,Others,55.42,Others,Commerce,64.56,BCA,No,79.34,Cyber Security,67.12,Not Placed,
212,M,62.17,Others,72.74,Others,Science,58.65,BCA,Yes,72.59,Software Dev,58.57,Placed,512000
213,F,65.15,Central,71.49,Central,Science,64.88,BCA,No,71.46,Cyber Security,58.33,Not Placed,
214,M,63.47,Others,82.98,Others,Commerce,74.4,BCA,No,64.1,Web Analytics,70.36,Not Placed,
215,M,57.28,Central,81.02,Central,Commerce,73.29,BCA,Yes,63.88,Software Dev,80.72,Not Placed,
216,M,62.56,Central,65.21,Central,Commerce,68.69,MCA,Yes,60.38,Data Science & AI,63.17,Placed,597000
217,M,92.13,Central,75.63,Central,Commerce,65.02,MCA,No,62.14,Enterprise Dev,70.72,Not Placed,
218,F,75.18,Central,64.39,Central,Commerce,67.73,MCA,Yes,82.93,Enterprise Dev,58.41,Placed,752000
219,F,54.49,Others,74.37,Central,Commerce,72.09,MCA,Yes,71.57,Cloud Computing,69.53,Placed,820000
220,M,66.92,Central,72.91,Central,Science,66.46,MCA,Yes,77.22,Cloud Computing,76.58,Placed,701000
221,M,82.13,Others,52.72,Others,Science,80.2,MCA,No,66.18,Data Science & AI,68.33,Not Placed,
222,F,64.8,Central,68.67,Central,Commerce,50.8,MCA,No,59.37,Cloud Computing,70.24,Not Placed,
223,M,69.85,Central,92.18,Others,Commerce,51.99,MCA,Yes,62.85,Data Science & AI,69.71,Placed,624000
224,M,90.78,Others,50.39,Central,Commerce,67.09,MCA,No,70.28,Data Science & AI,59.7,Placed,614000
225,M,75.59,Others,72.79,Others,Commerce,64.9,MCA,Yes,89.65,Enterprise Dev,63.47,Placed,784000
226,F,65.79,Others,70.37,Others,Commerce,75.49,MCA,Yes,53.0,Data Science & AI,69.84,Placed,648000
227,M,75.61,Central,96.0,Central,Science,52.83,MCA,No,70.97,Cloud Computing,66.2,Not Placed,
228,M,80.45,Central,45.92,Others,Science,66.13,MCA,Yes,56.55,Cloud Computing,68.53,Placed,599000
229,M,72.92,Central,85.72,Central,Science,57.91,MCA,No,52.04,Enterprise Dev,62.47,Not Placed,
230,F,79.03,Others,51.39,Central,Commerce,67.92,MCA,Yes,63.61,Cloud Computing,68.55,Placed,728000
231,M,64.35,Central,76.89,Central,Commerce,72.7,MCA,Yes,69.31,Enterprise Dev,73.42,Not Placed,
232,M,84.69,Others,93.78,Central,Commerce,59.42,MCA,Yes,55.72,Enterprise Dev,60.25,Placed,571000
233,F,82.83,Others,61.71,Others,Science,73.77,MCA,Yes,74.96,Data Science & AI,53.99,Placed,654000
234,M,64.47,Central,55.58,Others,Commerce,70.32,MCA,No,61.17,Enterprise Dev,62.4,Not Placed,
235,F,91.0,Others,68.89,Others,Science,56.47,MCA,No,75.28,Data Science & AI,63.53,Not Placed,
236,F,76.16,Others,66.18,Others,Commerce,64.16,MCA,Yes,67.19,Cloud Computing,54.61,Not Placed,
237,F,55.78,Others,72.04,Others,Science,81.07,MCA,Yes,83.5,Data Science & AI,50.0,Placed,681000
238,F,71.0,Others,67.59,Others,Science,92.0,MCA,No,68.08,Enterprise Dev,59.72,Not Placed,
239,M,69.87,Others,69.53,Others,Commerce,69.39,MCA,No,77.72,Enterprise Dev,68.41,Not Placed,
240,F,66.17,Others,59.71,Central,Commerce,61.53,MCA,Yes,55.65,Cloud Computing,54.18,Not Placed,
241,M,70.65,Central,77.43,Central,Commerce,82.32,MCA,Yes,60.11,Data Science & AI,60.98,Not Placed,
242,F,55.5,Others,69.9,Others,Science,62.76,MCA,Yes,56.43,Data Science & AI,57.34,Not Placed,
243,M,72.05,Central,66.53,Others,Commerce,79.62,MCA,No,60.64,Cloud Computing,65.77,Placed,493000
244,F,85.06,Others,68.31,Others,Commerce,66.79,MCA,Yes,72.75,Cloud Computing,79.13,Placed,620000
245,M,88.46,Others,75.48,Central,Science,76.71,MCA,No,80.16,Cloud Computing,51.82,Placed,614000
246,M,66.66,Others,55.92,Central,Science,64.07,MCA,No,71.32,Data Science & AI,60.97,Not Placed,
247,M,66.58,Others,74.71,Central,Science,66.6,MCA,No,74.78,Data Science & AI,56.84,Placed,568000
248,M,66.26,Others,65.55,Central,Science,73.43,MCA,No,71.17,Cloud Computing,52.8,Not Placed,
249,F,71.59,Central,73.25,Central,Science,63.78,MCA,No,76.37,Data Science & AI,77.92,Placed,641000
250,F,72.08,Others,71.98,Others,Science,61.73,MCA,No,83.91,Enterprise Dev,66.23,Placed,692000
